Speccode,Species,Population,Season,Area,Propn.adults,Propn.immatures
AC,Arctic Skua,UK non-SPA western colonies,autumn migration season (August to October),UK North Sea and Channel waters,0,0
AC,Arctic Skua,UK non-SPA western colonies,autumn migration season (August to October),UK western waters,1,0.7
AC,Arctic Skua,UK non-SPA western colonies,spring migration season (April-May),UK North Sea and Channel waters,0,0
AC,Arctic Skua,UK non-SPA western colonies,spring migration season (April-May),UK western waters,1,0.7
AC,Arctic Skua,West Westray,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,West Westray,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,West Westray,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,West Westray,spring migration season (April-May),UK western waters,0.6,0.5
AE,Arctic Tern,Auskerry,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Auskerry,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Baltic States,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.1,0.1
AE,Arctic Tern,Baltic States,migration seasons (July-early September and late April-May),UK western waters,0.02,0.02
AE,Arctic Tern,Coquet Island,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,1,0.7
AE,Arctic Tern,Coquet Island,migration seasons (July-early September and late April-May),UK western waters,0,0.05
AE,Arctic Tern,Fair Isle,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Fair Isle,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Farne Islands,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,1,0.7
AE,Arctic Tern,Farne Islands,migration seasons (July-early September and late April-May),UK western waters,0,0.05
AE,Arctic Tern,Faroe,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.2,0.15
AE,Arctic Tern,Faroe,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Fennoscandia,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.2,0.15
AE,Arctic Tern,Fennoscandia,migration seasons (July-early September and late April-May),UK western waters,0.03,0.03
AE,Arctic Tern,Fetlar,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Fetlar,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Forth Islands,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,1,0.7
AE,Arctic Tern,Forth Islands,migration seasons (July-early September and late April-May),UK western waters,0,0.05
AE,Arctic Tern,Foula,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Foula,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Ireland,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0,0
AE,Arctic Tern,Ireland,migration seasons (July-early September and late April-May),UK western waters,0.3,0.3
AE,Arctic Tern,Mousa,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Mousa,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Outer Ards,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0,0
AE,Arctic Tern,Outer Ards,migration seasons (July-early September and late April-May),UK western waters,1,0.7
AE,Arctic Tern,Papa Stour,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Papa Stour,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Papa Westray,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Papa Westray,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Pentland Firth Islands,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Pentland Firth Islands,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Rousay,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Rousay,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Strangford Lough,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0,0
AE,Arctic Tern,Strangford Lough,migration seasons (July-early September and late April-May),UK western waters,1,0.7
AE,Arctic Tern,Sumburgh Head,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,Sumburgh Head,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,UK North Sea non-SPA colonies,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,UK North Sea non-SPA colonies,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,UK western non-SPA colonies,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0,0
AE,Arctic Tern,UK western non-SPA colonies,migration seasons (July-early September and late April-May),UK western waters,1,0.7
AE,Arctic Tern,West Westray,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0.9,0.6
AE,Arctic Tern,West Westray,migration seasons (July-early September and late April-May),UK western waters,0.1,0.1
AE,Arctic Tern,Ynys Feurig; Cemlyn Bay; Skerries,migration seasons (July-early September and late April-May),UK North Sea and Channel waters,0,0
AE,Arctic Tern,Ynys Feurig; Cemlyn Bay; Skerries,migration seasons (July-early September and late April-May),UK western waters,1,0.7
PU,Atlantic Puffin,Canna and  Sanday,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Canna and  Sanday,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Cape Wrath,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Cape Wrath,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Coquet Island,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.5,0.02
PU,Atlantic Puffin,Coquet Island,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,East Caithness Cliffs,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,East Caithness Cliffs,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,Fair Isle,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,Fair Isle,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,Farne Islands,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.5,0.02
PU,Atlantic Puffin,Farne Islands,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,Faroe,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.04,0.01
PU,Atlantic Puffin,Faroe,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,Flamborough and  Filey,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.5,0.02
PU,Atlantic Puffin,Flamborough and  Filey,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,Flannan Isles,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Flannan Isles,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Forth Islands,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.5,0.02
PU,Atlantic Puffin,Forth Islands,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,Foula,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,Foula,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,France,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.05,0.02
PU,Atlantic Puffin,France,non-breeding season (mid-August to March),UK western waters,0.01,0.01
PU,Atlantic Puffin,Hermaness; Saxavord,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,Hermaness; Saxavord,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,Hoy,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,Hoy,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,Ireland,non-breeding season (mid-August to March),UK North Sea and Channel waters,0,0
PU,Atlantic Puffin,Ireland,non-breeding season (mid-August to March),UK western waters,0.1,0.1
PU,Atlantic Puffin,Mingulay and  Berneray,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Mingulay and  Berneray,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,North Caithness Cliffs,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,North Caithness Cliffs,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,North Rona and  Sula Sgeir,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,North Rona and  Sula Sgeir,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Norway,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.003
PU,Atlantic Puffin,Norway,non-breeding season (mid-August to March),UK western waters,0.002,0.001
PU,Atlantic Puffin,Noss,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.15,0.02
PU,Atlantic Puffin,Noss,non-breeding season (mid-August to March),UK western waters,0.08,0.02
PU,Atlantic Puffin,Rathlin Island,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Rathlin Island,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Shiant Isles,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Shiant Isles,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Skomer and Skokholm,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Skomer and Skokholm,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,St Kilda,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,St Kilda,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,Sule Skerry and  Sule Stack,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,Sule Skerry and  Sule Stack,non-breeding season (mid-August to March),UK western waters,0.18,0.02
PU,Atlantic Puffin,UK N Sea non-SPA colonies,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.25,0.02
PU,Atlantic Puffin,UK N Sea non-SPA colonies,non-breeding season (mid-August to March),UK western waters,0.07,0.02
PU,Atlantic Puffin,UK western non-SPA colonies,non-breeding season (mid-August to March),UK North Sea and Channel waters,0.001,0.001
PU,Atlantic Puffin,UK western non-SPA colonies,non-breeding season (mid-August to March),UK western waters,0.18,0.02
KI,Black-legged Kittiwake,Ailsa Craig,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Ailsa Craig,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Ailsa Craig,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Ailsa Craig,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Buchan Ness to Collieston,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Buchan Ness to Collieston,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Buchan Ness to Collieston,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Buchan Ness to Collieston,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Calf of Eday,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Calf of Eday,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Calf of Eday,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Calf of Eday,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Canna and  Sanday,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Canna and  Sanday,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Canna and  Sanday,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Canna and  Sanday,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Cape Wrath,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Cape Wrath,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Cape Wrath,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Cape Wrath,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Copinsay,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Copinsay,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Copinsay,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Copinsay,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,East Caithness Cliffs,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,East Caithness Cliffs,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,East Caithness Cliffs,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,East Caithness Cliffs,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Fair Isle,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Fair Isle,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Fair Isle,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Fair Isle,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Farne Islands,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Farne Islands,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Farne Islands,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Farne Islands,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Faroe,autumn migration (August to December),UK North Sea waters,0.1,0.1
KI,Black-legged Kittiwake,Faroe,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Faroe,spring migration (January to April),UK North Sea waters,0.05,0.07
KI,Black-legged Kittiwake,Faroe,spring migration (January to April),UK western waters and Channel,0.1,0.1
KI,Black-legged Kittiwake,Flamborough and Filey,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Flamborough and Filey,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Flamborough and Filey,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Flamborough and Filey,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Flannan Isles,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Flannan Isles,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Flannan Isles,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Flannan Isles,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Forth Islands,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Forth Islands,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Forth Islands,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Forth Islands,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Foula,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Foula,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Foula,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Foula,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Fowlsheugh,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Fowlsheugh,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Fowlsheugh,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Fowlsheugh,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,France,autumn migration (August to December),UK North Sea waters,0.05,0.05
KI,Black-legged Kittiwake,France,autumn migration (August to December),UK western waters and Channel,0.1,0.1
KI,Black-legged Kittiwake,France,spring migration (January to April),UK North Sea waters,0.05,0.1
KI,Black-legged Kittiwake,France,spring migration (January to April),UK western waters and Channel,0.1,0.1
KI,Black-legged Kittiwake,Germany,autumn migration (August to December),UK North Sea waters,0.1,0.1
KI,Black-legged Kittiwake,Germany,autumn migration (August to December),UK western waters and Channel,0.05,0.05
KI,Black-legged Kittiwake,Germany,spring migration (January to April),UK North Sea waters,0.15,0.25
KI,Black-legged Kittiwake,Germany,spring migration (January to April),UK western waters and Channel,0.05,0.05
KI,Black-legged Kittiwake,Handa,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Handa,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Handa,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Handa,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Hermaness; Saxavord,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Hermaness; Saxavord,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Hermaness; Saxavord,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Hermaness; Saxavord,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Hoy,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Hoy,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Hoy,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Hoy,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Ireland,autumn migration (August to December),UK North Sea waters,0.05,0.05
KI,Black-legged Kittiwake,Ireland,autumn migration (August to December),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Ireland,spring migration (January to April),UK North Sea waters,0.01,0.01
KI,Black-legged Kittiwake,Ireland,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Marwick Head,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Marwick Head,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Marwick Head,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Marwick Head,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Mingulay and  Berneray,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Mingulay and  Berneray,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Mingulay and  Berneray,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Mingulay and  Berneray,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,North Caithness Cliffs,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,North Caithness Cliffs,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,North Caithness Cliffs,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,North Caithness Cliffs,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,North Colonsay and  Western Cliffs,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,North Colonsay and  Western Cliffs,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,North Colonsay and  Western Cliffs,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,North Colonsay and  Western Cliffs,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,North Rona and  Sula Sgeir,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,North Rona and  Sula Sgeir,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,North Rona and  Sula Sgeir,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,North Rona and  Sula Sgeir,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Norway,autumn migration (August to December),UK North Sea waters,0.1,0.1
KI,Black-legged Kittiwake,Norway,autumn migration (August to December),UK western waters and Channel,0.15,0.15
KI,Black-legged Kittiwake,Norway,spring migration (January to April),UK North Sea waters,0.05,0.07
KI,Black-legged Kittiwake,Norway,spring migration (January to April),UK western waters and Channel,0.05,0.1
KI,Black-legged Kittiwake,Noss,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Noss,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Noss,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Noss,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Rathlin Island,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Rathlin Island,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Rathlin Island,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Rathlin Island,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Rousay,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Rousay,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Rousay,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Rousay,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Rum,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Rum,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Rum,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Rum,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Russia,autumn migration (August to December),UK North Sea waters,0.1,0.1
KI,Black-legged Kittiwake,Russia,autumn migration (August to December),UK western waters and Channel,0.1,0.1
KI,Black-legged Kittiwake,Russia,spring migration (January to April),UK North Sea waters,0.05,0.07
